지반시나리오,산불처리,문턱_%,T_agent,decision_latency_h,hazard_lead_상한_h,경보지속률,판정
A_soilmap,fire_off,0.01,07-19 09:00,3.62,-1.0,1.0,첫신고보다 늦음
A_soilmap,fire_off,0.05,,,,,미도달
A_soilmap,fire_off,0.1,,,,,미도달
A_soilmap,fire_off,0.5,,,,,미도달
A_soilmap,observed,0.01,07-19 09:00,3.62,-1.0,1.0,첫신고보다 늦음
A_soilmap,observed,0.05,,,,,미도달
A_soilmap,observed,0.1,,,,,미도달
A_soilmap,observed,0.5,,,,,미도달
A_soilmap,dnbr_m0.10,0.01,07-19 09:00,3.62,-1.0,1.0,첫신고보다 늦음
A_soilmap,dnbr_m0.10,0.05,,,,,미도달
A_soilmap,dnbr_m0.10,0.1,,,,,미도달
A_soilmap,dnbr_m0.10,0.5,,,,,미도달
A_soilmap,dnbr_p0.10,0.01,07-19 08:00,4.62,0.0,1.0,첫신고보다 늦음
A_soilmap,dnbr_p0.10,0.05,07-19 09:00,3.62,-1.0,1.0,첫신고보다 늦음
A_soilmap,dnbr_p0.10,0.1,,,,,미도달
A_soilmap,dnbr_p0.10,0.5,,,,,미도달
A_soilmap,no_roots,0.01,07-18 00:00,36.62,32.0,1.0,상시경보(시계열 시작부터 초과 — 리드타임 무의미)
A_soilmap,no_roots,0.05,07-18 00:00,36.62,32.0,1.0,상시경보(시계열 시작부터 초과 — 리드타임 무의미)
A_soilmap,no_roots,0.1,07-18 18:00,18.62,14.0,1.0,첫신고보다 빠름
A_soilmap,no_roots,0.5,07-19 07:00,5.62,1.0,1.0,첫신고보다 빠름
B_weathered,fire_off,0.01,07-18 00:00,36.62,32.0,1.0,상시경보(시계열 시작부터 초과 — 리드타임 무의미)
B_weathered,fire_off,0.05,07-19 07:00,5.62,1.0,1.0,첫신고보다 빠름
B_weathered,fire_off,0.1,07-19 08:00,4.62,0.0,1.0,첫신고보다 늦음
B_weathered,fire_off,0.5,,,,,미도달
B_weathered,observed,0.01,07-18 00:00,36.62,32.0,1.0,상시경보(시계열 시작부터 초과 — 리드타임 무의미)
B_weathered,observed,0.05,07-18 23:00,13.62,9.0,0.688,첫신고보다 빠름
B_weathered,observed,0.1,07-19 07:00,5.62,1.0,1.0,첫신고보다 빠름
B_weathered,observed,0.5,07-19 09:00,3.62,-1.0,1.0,첫신고보다 늦음
B_weathered,dnbr_m0.10,0.01,07-18 00:00,36.62,32.0,1.0,상시경보(시계열 시작부터 초과 — 리드타임 무의미)
B_weathered,dnbr_m0.10,0.05,07-19 06:00,6.62,2.0,1.0,첫신고보다 빠름
B_weathered,dnbr_m0.10,0.1,07-19 08:00,4.62,0.0,1.0,첫신고보다 늦음
B_weathered,dnbr_m0.10,0.5,07-19 09:00,3.62,-1.0,1.0,첫신고보다 늦음
B_weathered,dnbr_p0.10,0.01,07-18 00:00,36.62,32.0,1.0,상시경보(시계열 시작부터 초과 — 리드타임 무의미)
B_weathered,dnbr_p0.10,0.05,07-18 21:00,15.62,11.0,1.0,첫신고보다 빠름
B_weathered,dnbr_p0.10,0.1,07-19 07:00,5.62,1.0,1.0,첫신고보다 빠름
B_weathered,dnbr_p0.10,0.5,07-19 09:00,3.62,-1.0,1.0,첫신고보다 늦음
B_weathered,no_roots,0.01,07-18 00:00,36.62,32.0,1.0,상시경보(시계열 시작부터 초과 — 리드타임 무의미)
B_weathered,no_roots,0.05,07-18 00:00,36.62,32.0,1.0,상시경보(시계열 시작부터 초과 — 리드타임 무의미)
B_weathered,no_roots,0.1,07-18 00:00,36.62,32.0,1.0,상시경보(시계열 시작부터 초과 — 리드타임 무의미)
B_weathered,no_roots,0.5,07-18 00:00,36.62,32.0,1.0,상시경보(시계열 시작부터 초과 — 리드타임 무의미)
