읍면,급사면px,흉터급사면px,산불비율_%,중등이상_%,산사태건수,area_km2,발생밀도_건perkm2
시천면,3500050,661795,18.908,11.76,51,126.93,0.402
삼장면,3598240,527302,14.654,9.12,33,102.66,0.321
차황면,1273458,61564,4.834,0.669,18,48.46,0.371
금서면,2224302,105961,4.764,1.683,0,75.81,0.0
단성면,2591821,93685,3.615,2.122,99,109.09,0.908
생초면,1327130,27865,2.1,0.774,5,52.6,0.095
산청읍,1918309,29385,1.532,0.431,58,68.39,0.848
오부면,961646,7028,0.731,0.26,16,34.71,0.461
신안면,1631547,7280,0.446,0.107,39,71.69,0.544
신등면,1382760,6087,0.44,0.019,38,56.56,0.672
생비량면,875970,0,0.0,0.0,5,44.03,0.114
