읍면,리,급사면px,흉터급사면px,산불비율_%,중등이상_%,산사태건수,건수per급사면Mpx
시천면,중태리,124703,96180,77.127,66.274,10,80.191
시천면,외공리 ,174550,100588,57.627,38.047,7,40.103
시천면,천평리,199595,70744,35.444,25.416,3,15.03
차황면,법평리,150643,52430,34.804,11.783,12,79.659
시천면,반천리,204575,46405,22.684,17.448,5,24.441
시천면,시천리,175971,35615,20.239,7.972,3,17.048
시천면,중산리,242468,21560,8.892,5.308,1,4.124
생초면,노은리,210646,14679,6.969,0.836,5,23.737
산청읍,내수리,91125,2909,3.192,0.131,16,175.583
시천면,사리,258137,7517,2.912,0.974,10,38.739
차황면,상중리,137590,3145,2.286,0.134,2,14.536
삼장면,홍계리,245692,5306,2.16,0.304,13,52.912
오부면,양촌리,192380,3207,1.667,0.775,2,10.396
오부면,대현리,180360,2681,1.486,0.614,1,5.544
신안면,외송리,220418,2830,1.284,0.566,14,63.516
차황면,상법리,240047,2255,0.939,0.03,2,8.332
산청읍,척지리,218338,1961,0.898,0.088,6,27.48
단성면,창촌리,146378,788,0.538,0.102,5,34.158
차황면,신기리,175581,941,0.536,0.001,1,5.695
산청읍,정곡리,200066,988,0.494,0.088,5,24.992
단성면,강누리,111191,538,0.484,0.002,2,17.987
단성면,방목리,106660,459,0.43,0.0,22,206.263
산청읍,내리,135234,579,0.428,0.0,10,73.946
신안면,갈전리,108159,426,0.394,0.163,9,83.211
오부면,방곡리,92896,351,0.378,0.003,10,107.647
단성면,관정리,75320,279,0.37,0.003,3,39.83
단성면,백운리 ,177112,563,0.318,0.0,8,45.169
산청읍,병정리,107757,314,0.291,0.0,1,9.28
산청읍,송경리,132504,376,0.284,0.01,6,45.282
시천면,원리,99291,262,0.264,0.0,3,30.214
단성면,사월리,69333,169,0.244,0.0,8,115.385
단성면,청계리,195822,458,0.234,0.0,23,117.454
단성면,남사리,85572,183,0.214,0.0,2,23.372
산청읍,모고리,57654,119,0.206,0.0,4,69.379
오부면,내곡리,105458,212,0.201,0.0,1,9.482
차황면,부리,90331,172,0.19,0.0,1,11.07
삼장면,석남리,60142,103,0.171,0.0,9,149.646
신등면,모례리,54220,81,0.149,0.0,10,184.434
단성면,길리,86843,129,0.149,0.0,14,161.21
신등면,율현리,142957,178,0.125,0.0,10,69.951
오부면,일물리,215373,262,0.122,0.0,2,9.286
신안면,안봉리,123088,129,0.105,0.004,16,129.988
산청읍,범학리,183117,168,0.092,0.0,5,27.305
산청읍,부리,221063,135,0.061,0.0,5,22.618
단성면,입석리,143722,85,0.059,0.0,1,6.958
삼장면,대하리,126479,70,0.055,0.0,1,7.906
삼장면,평촌리,183230,89,0.049,0.0,9,49.119
신등면,양전리,93508,41,0.044,0.0,2,21.389
단성면,운리 ,108785,32,0.029,0.0,11,101.117
삼장면,대포리,79945,16,0.02,0.0,1,12.509
신등면,평지리,128486,23,0.018,0.0,4,31.132
신등면,사정리,211794,0,0.0,0.0,3,14.165
신등면,간공리,83178,0,0.0,0.0,9,108.202
생비량면,도리,164460,0,0.0,0.0,2,12.161
시천면,내공리,0,0,0.0,0.0,9,9000000.0
