지반시나리오,산불처리,peak_crit_%,T_agent_rel50,골든타임_rel50_h,T_agent_abs0.01,골든타임_abs0.01_h,T_agent_abs0.05,골든타임_abs0.05_h,T_agent_abs0.1,골든타임_abs0.1_h,T_agent_abs0.5,골든타임_abs0.5_h
A_soilmap,fire_off,0.0216,07-19 09:00,3.62,07-19 09:00,3.62,,,,,,
A_soilmap,observed,0.0383,07-19 09:00,3.62,07-19 09:00,3.62,,,,,,
A_soilmap,dnbr_m0.10,0.0321,07-19 09:00,3.62,07-19 09:00,3.62,,,,,,
A_soilmap,dnbr_p0.10,0.0504,07-19 09:00,3.62,07-19 08:00,4.62,07-19 09:00,3.62,,,,
A_soilmap,no_roots,5.4106,07-19 09:00,3.62,07-18 00:00,36.62,07-18 00:00,36.62,07-18 18:00,18.62,07-19 07:00,5.62
B_weathered,fire_off,0.4791,07-19 09:00,3.62,07-18 00:00,36.62,07-19 07:00,5.62,07-19 08:00,4.62,,
B_weathered,observed,0.8985,07-19 09:00,3.62,07-18 00:00,36.62,07-18 23:00,13.62,07-19 07:00,5.62,07-19 09:00,3.62
B_weathered,dnbr_m0.10,0.7622,07-19 09:00,3.62,07-18 00:00,36.62,07-19 06:00,6.62,07-19 08:00,4.62,07-19 09:00,3.62
B_weathered,dnbr_p0.10,1.1966,07-19 09:00,3.62,07-18 00:00,36.62,07-18 21:00,15.62,07-19 07:00,5.62,07-19 09:00,3.62
B_weathered,no_roots,23.1923,07-19 09:00,3.62,07-18 00:00,36.62,07-18 00:00,36.62,07-18 00:00,36.62,07-18 00:00,36.62
