time,rn_mm,cum24,A_soilmap|fire_off,A_soilmap|observed,A_soilmap|dnbr_m0.10,A_soilmap|dnbr_p0.10,A_soilmap|no_roots,B_weathered|fire_off,B_weathered|observed,B_weathered|dnbr_m0.10,B_weathered|dnbr_p0.10,B_weathered|no_roots
2025-07-18 00:00:00,14.2,14.2,0.001,0.001,0.001,0.0018,0.0725,0.0129,0.0148,0.0139,0.0236,1.2265
2025-07-18 01:00:00,0.9,15.1,0.001,0.001,0.001,0.0018,0.0747,0.0132,0.0151,0.0143,0.024,1.2545
2025-07-18 02:00:00,0.6,15.7,0.001,0.001,0.001,0.0018,0.0763,0.0134,0.0154,0.0145,0.0244,1.2729
2025-07-18 03:00:00,0.1,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 04:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 05:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 06:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 07:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 08:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 09:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 10:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 11:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 12:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 13:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 14:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 15:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 16:00:00,0.0,15.8,0.001,0.001,0.001,0.0018,0.0766,0.0134,0.0154,0.0145,0.0244,1.2761
2025-07-18 17:00:00,4.2,20.0,0.0012,0.0012,0.0012,0.0019,0.0887,0.0149,0.0173,0.0163,0.027,1.4137
2025-07-18 18:00:00,5.3,25.3,0.0013,0.0013,0.0013,0.002,0.1071,0.0168,0.0199,0.0186,0.0304,1.6093
2025-07-18 19:00:00,14.1,39.4,0.0018,0.0018,0.0018,0.0026,0.1737,0.0231,0.0287,0.0262,0.0428,2.26
2025-07-18 20:00:00,0.7,40.1,0.0018,0.0018,0.0018,0.0026,0.1779,0.0235,0.0292,0.0266,0.0435,2.2982
2025-07-18 21:00:00,11.1,51.2,0.0021,0.0021,0.0021,0.003,0.2566,0.0302,0.0393,0.0352,0.0584,2.9784
2025-07-18 22:00:00,0.2,51.4,0.0021,0.0021,0.0021,0.003,0.2584,0.0303,0.0395,0.0354,0.0587,2.9923
2025-07-18 23:00:00,11.3,62.7,0.0025,0.0026,0.0025,0.0035,0.372,0.0393,0.0536,0.0475,0.0786,3.8555
2025-07-19 00:00:00,1.4,49.9,0.0021,0.0021,0.0021,0.003,0.246,0.0294,0.038,0.0342,0.0565,2.8906
2025-07-19 01:00:00,1.7,50.7,0.0021,0.0021,0.0021,0.003,0.2524,0.03,0.0389,0.0349,0.0577,2.9444
2025-07-19 02:00:00,2.0,52.1,0.0021,0.0021,0.0021,0.0031,0.2645,0.0309,0.0403,0.0361,0.0598,3.0404
2025-07-19 03:00:00,1.8,53.8,0.0022,0.0022,0.0022,0.0032,0.2796,0.032,0.0421,0.0376,0.0626,3.1591
2025-07-19 04:00:00,4.0,57.8,0.0023,0.0023,0.0023,0.0033,0.3181,0.0351,0.0468,0.0417,0.0692,3.458
2025-07-19 05:00:00,3.7,61.5,0.0025,0.0025,0.0025,0.0035,0.3582,0.0382,0.0518,0.046,0.0762,3.7544
2025-07-19 06:00:00,8.3,69.8,0.0028,0.0028,0.0028,0.0039,0.466,0.0464,0.0653,0.0574,0.095,4.5037
2025-07-19 07:00:00,16.2,86.0,0.0037,0.0038,0.0037,0.0049,0.7604,0.0668,0.1032,0.0885,0.1478,6.2978
2025-07-19 08:00:00,32.0,118.0,0.0063,0.0074,0.0068,0.0101,1.8106,0.1389,0.2485,0.2087,0.3463,11.2245
2025-07-19 09:00:00,66.8,184.8,0.0216,0.0383,0.0321,0.0504,5.4106,0.4791,0.8985,0.7622,1.1966,23.1923
2025-07-19 10:00:00,48.2,233.0,0.0216,0.0383,0.0321,0.0504,5.4106,0.4791,0.8985,0.7622,1.1966,23.1923
2025-07-19 11:00:00,44.3,277.3,0.0216,0.0383,0.0321,0.0504,5.4106,0.4791,0.8985,0.7622,1.1966,23.1923
2025-07-19 12:00:00,59.7,337.0,0.0216,0.0383,0.0321,0.0504,5.4106,0.4791,0.8985,0.7622,1.1966,23.1923
2025-07-19 13:00:00,34.1,371.1,0.0216,0.0383,0.0321,0.0504,5.4106,0.4791,0.8985,0.7622,1.1966,23.1923
2025-07-19 14:00:00,30.0,401.1,0.0216,0.0383,0.0321,0.0504,5.4106,0.4791,0.8985,0.7622,1.1966,23.1923
