time,rn,cum24,critA_%,critB_%
2025-07-18 00:00:00,14.2,14.2,0.001,0.015
2025-07-18 01:00:00,0.9,15.1,0.001,0.015
2025-07-18 02:00:00,0.6,15.7,0.001,0.015
2025-07-18 03:00:00,0.1,15.8,0.001,0.015
2025-07-18 04:00:00,0.0,15.8,0.001,0.015
2025-07-18 05:00:00,0.0,15.8,0.001,0.015
2025-07-18 06:00:00,0.0,15.8,0.001,0.015
2025-07-18 07:00:00,0.0,15.8,0.001,0.015
2025-07-18 08:00:00,0.0,15.8,0.001,0.015
2025-07-18 09:00:00,0.0,15.8,0.001,0.015
2025-07-18 10:00:00,0.0,15.8,0.001,0.015
2025-07-18 11:00:00,0.0,15.8,0.001,0.015
2025-07-18 12:00:00,0.0,15.8,0.001,0.015
2025-07-18 13:00:00,0.0,15.8,0.001,0.015
2025-07-18 14:00:00,0.0,15.8,0.001,0.015
2025-07-18 15:00:00,0.0,15.8,0.001,0.015
2025-07-18 16:00:00,0.0,15.8,0.001,0.015
2025-07-18 17:00:00,4.2,20.0,0.001,0.017
2025-07-18 18:00:00,5.3,25.3,0.001,0.02
2025-07-18 19:00:00,14.1,39.4,0.002,0.029
2025-07-18 20:00:00,0.7,40.1,0.002,0.029
2025-07-18 21:00:00,11.1,51.2,0.002,0.039
2025-07-18 22:00:00,0.2,51.4,0.002,0.04
2025-07-18 23:00:00,11.3,62.7,0.003,0.054
2025-07-19 00:00:00,1.4,49.9,0.002,0.038
2025-07-19 01:00:00,1.7,50.7,0.002,0.039
2025-07-19 02:00:00,2.0,52.1,0.002,0.04
2025-07-19 03:00:00,1.8,53.8,0.002,0.042
2025-07-19 04:00:00,4.0,57.8,0.002,0.047
2025-07-19 05:00:00,3.7,61.5,0.003,0.052
2025-07-19 06:00:00,8.3,69.8,0.003,0.065
2025-07-19 07:00:00,16.2,86.0,0.004,0.103
2025-07-19 08:00:00,32.0,118.0,0.007,0.241
2025-07-19 09:00:00,66.8,184.8,0.03,0.627
2025-07-19 10:00:00,48.2,233.0,0.03,0.627
2025-07-19 11:00:00,44.3,277.3,0.03,0.627
2025-07-19 12:00:00,59.7,337.0,0.03,0.627
2025-07-19 13:00:00,34.1,371.1,0.03,0.627
2025-07-19 14:00:00,30.0,401.1,0.03,0.627
