layer,code,class_kr,usda_texture,c_eff_kpa,phi_eff_deg,gamma_kn_m3,ksat_m_s,provenance,source
ST_심토토성(전단강도),1,사질,sand,1.2,30,19.33,1.48e-05,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
ST_심토토성(전단강도),2,사양질,sandy_loam,4.0,28,18.57,1.18e-05,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
ST_심토토성(전단강도),3,미사사양질,coarse_sandy_loam,3.9,28,18.64,6.02e-06,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
ST_심토토성(전단강도),4,식양질,clay_loam,8.7,20,17.65,6.68e-07,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
ST_심토토성(전단강도),5,미사식양질,silty_clay_loam,10.6,22,17.0,1.54e-06,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
ST_심토토성(전단강도),6,식질,clay,12.0,20,16.5,3e-07,EXTRAPOLATED,"EXTRAPOLATED: P1 silty_clay_loam 경향 외삽 + P2 PSU Clay(phi 20, gamma 18); xcheck PSU GEOL615, Busan 2020"
ST_심토토성(전단강도),7,역질,gravel,0.5,35,19.5,5e-05,EXTRAPOLATED,"EXTRAPOLATED: P2 PSU Gravel(phi 35, gamma 19); xcheck PSU GEOL615, Busan 2020"
ST_심토토성(전단강도),8,사력질,sandy_gravel,1.0,33,19.3,3e-05,EXTRAPOLATED,"EXTRAPOLATED: P1 Sand ~ P2 Gravel 보간; xcheck PSU GEOL615, Busan 2020"
TT_표토토성(표층참고),1,양질조사토,loamy_sand,1.8,30,19.14,1.37e-05,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
TT_표토토성(표층참고),2,양질세사토,loamy_sand,1.8,30,19.14,1.37e-05,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
TT_표토토성(표층참고),3,양질사토,loamy_sand,1.8,30,19.14,1.37e-05,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
TT_표토토성(표층참고),4,세사양토,sandy_loam,4.0,28,18.57,1.18e-05,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
TT_표토토성(표층참고),5,사양토,sandy_loam,4.0,28,18.57,1.18e-05,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
TT_표토토성(표층참고),6,양토,loam,7.0,25,17.88,2.51e-06,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
TT_표토토성(표층참고),7,식양토,clay_loam,8.7,20,17.65,6.68e-07,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
TT_표토토성(표층참고),8,미사질양토,silty_loam,8.9,27,17.33,2.31e-06,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
TT_표토토성(표층참고),9,미사질식양토,silty_clay_loam,10.6,22,17.0,1.54e-06,MODEL,"Frontiers 2026 (10.3389/ffgc.2026.1842027) Table 1; xcheck PSU GEOL615, Busan MDPI Sustainability 2020 12(7):2839"
