layer,code,class,polygon_count
AD_유효토심,1.0,<20,28327
AD_유효토심,2.0,20-50,89593
AD_유효토심,3.0,50-100,59696
AD_유효토심,4.0,>100,105614
AD_유효토심,999.0,기타,21380
DC_배수등급,1.0,매우양호,26309
DC_배수등급,2.0,양호,156448
DC_배수등급,3.0,약간양호,127765
DC_배수등급,4.0,약간불량,66161
DC_배수등급,5.0,불량,2754
DC_배수등급,6.0,매우불량,14395
DC_배수등급,999.0,기타,21380
SL_경사,1.0,0-2%,24728
SL_경사,2.0,2-7%,73750
SL_경사,3.0,7-15%,172565
SL_경사,4.0,15-30%,134078
SL_경사,5.0,30-60%,56600
SL_경사,6.0,60-100%,12193
SL_경사,999.0,기타,21380
TT_표토토성,1.0,양질조사토,3486
TT_표토토성,2.0,양질세사토,2543
TT_표토토성,3.0,양질사토,3819
TT_표토토성,4.0,세사양토,7543
TT_표토토성,5.0,사양토,57762
TT_표토토성,6.0,양토,66604
TT_표토토성,7.0,식양토,3888
TT_표토토성,8.0,미사질양토,30014
TT_표토토성,9.0,미사질식양토,11274
TT_표토토성,999.0,기타,21380
ST_심토토성,1.0,사질,6726
ST_심토토성,2.0,사양질,31300
ST_심토토성,3.0,미사사양질,3733
ST_심토토성,4.0,식양질,53841
ST_심토토성,5.0,미사식양질,25171
ST_심토토성,6.0,식질,19481
ST_심토토성,7.0,역질,523
ST_심토토성,8.0,사력질,13844
ST_심토토성,999.0,기타,21380
SG_심토자갈함량,1.0,<10,41752
SG_심토자갈함량,2.0,10-35,74009
SG_심토자갈함량,3.0,>35,67635
SG_심토자갈함량,999.0,기타,21380
TG_표토자갈함량,1.0,자갈이 없음,71505
TG_표토자갈함량,2.0,자갈이 있음,75994
TG_표토자갈함량,3.0,잔자갈이 있음,31201
TG_표토자갈함량,4.0,잔돌이 있음,7548
TG_표토자갈함량,5.0,돌이 있음,10828
TG_표토자갈함량,6.0,돌과 둥근바위가 있음,30
TG_표토자갈함량,7.0,둥근바위가 있음,10578
TG_표토자갈함량,8.0,바위가 있음,17451
TG_표토자갈함량,9.0,바위가 많음,3376
TG_표토자갈함량,999.0,기타,21380
SS_토양구조,1.0,없음,52214
SS_토양구조,2.0,약입상,2118
SS_토양구조,3.0,보통입상,2468
SS_토양구조,4.0,약반각괴상,82756
SS_토양구조,5.0,보통반각괴상,86388
SS_토양구조,6.0,강반각괴상,4112
SS_토양구조,7.0,약각괴상,15582
SS_토양구조,8.0,보통각괴상,18073
SS_토양구조,9.0,강각괴상,17589
SS_토양구조,10.0,약각주상,47879
SS_토양구조,11.0,보통각주상,15761
SS_토양구조,12.0,강각주상,24267
SS_토양구조,13.0,약판상,20428
SS_토양구조,14.0,보통판상,2049
SS_토양구조,15.0,보통원주상,98
SS_토양구조,999.0,기타,21380
PM_모재,1.0,산성암,41947
PM_모재,2.0,중성암,833
PM_모재,3.0,염기성암,706
PM_모재,4.0,퇴적암,5794
PM_모재,5.0,변성암,10833
PM_모재,6.0,화산회,559
PM_모재,7.0,제3기층,238
PM_모재,8.0,제4기층,30094
PM_모재,999.0,기타,21380
LF_지형,1.0,산악지,18169
LF_지형,2.0,구릉지,69423
LF_지형,3.0,산록경사지,115125
LF_지형,4.0,곡간지,91724
LF_지형,5.0,선상지,52968
LF_지형,6.0,홍적대지,6096
LF_지형,7.0,하성평탄지,19882
LF_지형,8.0,하해혼성평탄지,4885
LF_지형,9.0,용암류대지,426
LF_지형,10.0,분석구,521
LF_지형,999.0,기타,21380
